tconst	titleType	primaryTitle	originalTitle	startYear	runtimeMinutes	genres	averageRating	numVotes	directors	writers	person	oscarNominations	oscarWins
tt0015864	movie	The Gold Rush	The Gold Rush	1925	95	Adventure,Comedy,Drama	8.1	123323	nm0000122	nm0000122	"(nm0000122,actor,[""The Lone Prospector""]),(nm0841501,actor,[""Big Jim McKay""]),(nm0615306,actor,[""Black Larsen""]),(nm0074788,actor,[""Hank Curtis""]),(nm0906618,actor,[""Jack Cameron""]),(nm0354913,actress,[""Georgia""]),(nm1033900,actor,[""Man in Dance Hall""]),(nm1027682,actor,[""Eskimo Child""]),(nm1027683,actress,[""Eskimo Child""]),(nm0012447,actress,[""Woman in Dance Hall""])"	2	0
tt0017743	movie	Chang: A Drama of the Wilderness	Chang: A Drama of the Wilderness	1927	69	Adventure,Documentary,Drama	6.8	1189	nm0178260,nm0774325	nm0008280,nm0178260,nm0774325	"(nm0472440,actor,[""Kru - the Lao Tribesman""]),(nm0152021,actress,[""Chantui - His Wife""]),(nm0619546,actor,[""Nah - Son and Heir of the House of Kru""]),(nm0480428,actress,[""Their Little Girl""]),(nm4323422,actor,[""Itself""]),(nm1465023,actor,\N),(nm5250458,actor,\N),(nm4303850,actor,[""A Friend from the Lao Village""])"	1	0
tt0017806	movie	The Devil Dancer	The Devil Dancer	1927	73	Drama,Romance	4.9	72	nm0629243	nm0381152,nm0002316,nm0562372	"(nm0336660,actress,[""Takla (The Devil Dancer)""]),(nm0111612,actor,[""Stephen Athelstan""]),(nm0938923,actress,[""Sada""]),(nm0854621,actor,[""Beppo""]),(nm0891349,actor,[""Hassim""]),(nm0436787,actor,[""Sadik Lama""]),(nm0769584,actress,[""Tana""]),(nm0176302,actor,[""Arnold Guthrie""]),(nm0560442,actress,[""Isabel""]),(nm0664527,actor,[""Toy""])"	1	0
tt0017822	movie	The Dove	The Dove	1927	90	Adventure,Drama,Romance	6.5	110	nm0922327	nm0533102,nm0810290,nm0922327,nm0064595	"(nm0848232,actress,[""Dolores""]),(nm0001935,actor,[""Don José María y Sandoval""]),(nm0738042,actor,[""Johnny Powell""]),(nm0096128,actor,[""Billy""]),(nm0616729,actor,[""Mike""]),(nm0891349,actor,[""Gómez""]),(nm0789632,actor,[""The Patriot""]),(nm0664527,actor,[""The Comandante""]),(nm0201777,actor,[""The Comandante's Captain""]),(nm0201292,actor,[""Sandoval's Captain""])"	1	1
tt0017979	movie	The Private Life of Helen of Troy	The Private Life of Helen of Troy	1927	87	Action,Adventure,Comedy	5.8	99	nm0466099	nm0259850,nm0792845,nm0933133,nm0240534,nm0732452	"(nm0179386,actress,[""Helen of Troy""]),(nm0832011,actor,[""Menelaus""]),(nm0007220,actor,[""Paris""]),(nm0269493,actor,[""Eteoneus""]),(nm0924442,actress,[""Adraste""]),(nm0254381,actor,[""Telemachus""]),(nm0639855,actor,[""Ulysses""]),(nm0819833,actor,[""Achilles""]),(nm0137173,actor,[""Ajax""]),(nm0403917,actor,[""Malapokitoratoreadetos""])"	1	0
tt0018037	movie	The Jazz Singer	The Jazz Singer	1927	88	Drama,Music,Musical	6.4	11497	nm0189076	nm0710723,nm0169879,nm0418772	"(nm0427231,actor,[""Jakie Rabinowitz""]),(nm0564219,actress,[""Mary Dale""]),(nm0645941,actor,[""The Cantor""]),(nm0078806,actress,[""Sara Rabinowitz""]),(nm0496470,actor,[""Moisha Yudelson""]),(nm0330036,actor,[""Jakie Rabinowitz - Age 13""]),(nm0875983,actor,[""Harry Lee""]),(nm0742390,actor,[""Cantor Rosenblatt - Concert Recital""]),(nm2644055,actress,[""Chorus Girl""]),(nm0008670,actress,[""Chorus Girl""])"	1	0
tt0018129	movie	The Magic Flame	The Magic Flame	1927	100	Drama,Romance	4.8	68	nm0454771	nm0521442,nm0580648,nm0720805,nm0547938	"(nm0172903,actor,[""Tito the Clown""]),(nm0172903,actor,[""The Count""]),(nm0126566,actress,[""Bianca, the Aerial Artist""]),(nm0096475,actor,[""The Ringmaster""]),(nm0167032,actor,[""The Chancellor""]),(nm0164003,actor,[""The Aide""]),(nm0658450,actress,[""The Wife""]),(nm0068926,actor,[""The Husband""]),(nm0204639,actor,[""The Utility Man""]),(nm0156005,actor,[""The Manager""]),(nm0881557,actor,[""The Visitor""])"	1	0
tt0018253	movie	The Patent Leather Kid	The Patent Leather Kid	1927	150	Drama,Romance,Sport	6.0	625	nm0763453	nm0240534,nm0242802,nm0400912,nm0732452,nm0820700	"(nm0001932,actor,[""Patent Leather Kid""]),(nm0640603,actress,[""Curley Boyle, the Golden Dancer""]),(nm0203406,actor,[""Lieutenant Hugo Breen""]),(nm0079490,actor,[""Jake Stuke""]),(nm0831736,actor,[""Jimmy Kinch""]),(nm0877813,actor,[""Mabile Molasses""]),(nm0003424,actor,[""Sergeant""]),(nm0417012,actor,[""Officer Riley""]),(nm0698139,actor,[""The German Officer""]),(nm0207637,actor,[""The French Doctor""])"	1	0
tt0018379	movie	7th Heaven	7th Heaven	1927	110	Drama,Romance	7.5	4407	nm0097648	nm0834944,nm0322227,nm0385012,nm0129721,nm0615868	"(nm0310980,actress,[""Diane""]),(nm0268190,actor,[""Chico""]),(nm0054133,actor,[""Brissac""]),(nm0334581,actor,[""Boul""]),(nm0124877,actor,[""Gobin""]),(nm0608893,actress,[""Madame Gobin""]),(nm0110755,actress,[""Nana""]),(nm0154352,actor,[""Père Chevillon""]),(nm0831889,actor,[""The Rat""]),(nm0035455,actor,[""Extra""])"	5	3
tt0018389	movie	A Ship Comes In	A Ship Comes In	1928	70	Drama	5.5	246	nm0397678	nm0430756,nm0469166,nm0397022	"(nm0771585,actor,[""Peter Pleznik""]),(nm0237571,actress,[""Mama Pleznik""]),(nm0391972,actor,[""Eric""]),(nm0484757,actress,[""Marthe""]),(nm0589986,actress,[""Katinka""]),(nm0197368,actress,[""Katinka""]),(nm0270915,actor,[""Sokol""]),(nm0249187,actor,[""Judge Gresham""]),(nm0514707,actor,[""Dan""]),(nm0622307,actor,[""Gregor""])"	1	0
tt0018429	movie	Sorrell and Son	Sorrell and Son	1927	100	Drama	5.9	86	nm0107543	nm0214356,nm0107543,nm0576035	"(nm0912478,actor,[""Stephen Sorrell""]),(nm0632160,actress,[""Dora Sorrell""]),(nm0564236,actor,[""Kit, as a child""]),(nm0616659,actress,[""Flo Palfrey""]),(nm0069373,actor,[""John Palfrey""]),(nm0872476,actor,[""Thomas Roland""]),(nm0386808,actress,[""Molly, as a child""]),(nm0938464,actor,[""Buck""]),(nm0563997,actor,[""Dr. Orange""]),(nm0431484,actress,[""Fanny Garland""])"	1	0
tt0018455	movie	Sunrise	Sunrise: A Song of Two Humans	1927	94	Drama,Romance	8.1	55297	nm0003638	nm0562346,nm0837183,nm0385012,nm0129721	"(nm0639563,actor,[""The Man""]),(nm0310980,actress,[""The Wife""]),(nm0515272,actress,[""The Woman From the City""]),(nm0743017,actress,[""The Maid""]),(nm0531759,actor,[""The Photographer""]),(nm0802684,actor,[""The Barber""]),(nm0936079,actress,[""The Manicure Girl""]),(nm0396768,actor,[""The Obtrusive Gentleman""]),(nm0092665,actor,[""The Obliging Gentleman""]),(nm0082884,actor,[""Streetcar Conductor""])"	4	3
tt0018515	movie	Two Arabian Knights	Two Arabian Knights	1927	92	Adventure,Comedy,Romance	6.6	1210	nm0587277	nm0810290,nm0306875,nm0569213,nm0547938	"(nm0101955,actor,[""W. Daingerfield Phelps III""]),(nm0000802,actress,[""Mirza""]),(nm0938464,actor,[""Sgt. Peter O'Gaffney""]),(nm0445246,actor,[""Shevket""]),(nm0891349,actor,[""The Emir""]),(nm0899521,actor,[""The Skipper""]),(nm0000472,actor,[""The Purser""]),(nm0421138,actor,[""American Consul""]),(nm0241758,actor,[""Mirza's Man Servant""]),(nm0882929,actress,[""Mirza's Maid Servant""])"	1	1
