tconst	titleType	primaryTitle	originalTitle	startYear	runtimeMinutes	genres	averageRating	numVotes	directors	writers	person	oscarNominations	oscarWins
tt28082769	movie	September 5	September 5	2024	95	Drama,History,Thriller	7.1	22736	nm2959497	nm9415549,nm2959497,nm1017048	"(nm0765597,actor,[""Roone Arledge""]),(nm1910274,actor,[""Geoffrey Mason""]),(nm0001035,actor,[""Marvin Bader""]),(nm2914059,actress,[""Marianne Gebhardt""]),(nm0815668,actor,[""Jacques Lesgards""]),(nm1873687,actress,[""Gladys Deist""]),(nm0424819,actor,[""Hank Hanson""]),(nm8519744,actor,[""Carter Jeffrey""]),(nm11040847,actor,[""Gary Slaughter""]),(nm0907548,actor,[""Peter Jennings""])"	1	0
tt9218128	movie	Gladiator II	Gladiator II	2024	148	Action,Adventure,Drama	6.5	226544	nm0000631	nm0291905,nm0185976,nm0769227	"(nm8958770,actor,[""Lucius""]),(nm0000243,actor,[""Macrinus""]),(nm0050959,actor,[""General Acacius""]),(nm0001567,actress,[""Lucilla""]),(nm4806449,actor,[""Emperor Geta""]),(nm9538520,actor,[""Emperor Caracalla""]),(nm2443797,actor,[""Viggo""]),(nm0001394,actor,[""Gracchus""]),(nm0579795,actor,[""Jugurtha""]),(nm0524240,actor,[""Master of Ceremonies""])"	1	0
tt33385063	short	Death by Numbers	Death by Numbers	2024	33	Documentary,Short	6.6	493	nm0811502	nm16528826	nan	1	0
tt22022452	movie	Inside Out 2	Inside Out 2	2024	96	Adventure,Animation,Comedy	7.5	215481	nm1626375	nm0498834,nm1439546,nm1626375	"(nm0688132,actress,[""Joy""]),(nm1638321,actress,[""Anxiety""]),(nm10143485,actress,[""Riley""]),(nm0487594,actress,[""Disgust""]),(nm0355024,actor,[""Fear""]),(nm0085400,actor,[""Anger""]),(nm0809613,actress,[""Sadness""]),(nm8731249,actress,[""Envy""]),(nm5391232,actress,[""Valentina""]),(nm10838946,actress,[""Grace""])"	1	0
tt11389872	movie	Kingdom of the Planet of the Apes	Kingdom of the Planet of the Apes	2024	145	Action,Adventure,Drama	6.9	151047	nm1226871	nm0295264,nm0415425,nm0798646	"(nm4977122,actor,[""Noa""]),(nm8463347,actress,[""Nova""]),(nm8463347,actress,[""Mae""]),(nm0243806,actor,[""Proximus Caesar""]),(nm0534167,actor,[""Raka""]),(nm0000513,actor,[""Trevathan""]),(nm2794212,actor,[""Sylva""]),(nm4255507,actor,[""Anaya""]),(nm8808118,actress,[""Soona""]),(nm1442644,actor,[""Koro""]),(nm8890083,actor,[""Lightning""])"	1	0
tt21823606	movie	A Real Pain	A Real Pain	2024	90	Comedy,Drama	7.1	86838	nm0251986	nm0251986	"(nm0001085,actor,[""Benji Kaplan""]),(nm0251986,actor,[""David Kaplan""]),(nm6159473,actress,[""Flight Attendant""]),(nm15725065,actor,[""Abe""]),(nm9160483,actor,[""Receptionist""]),(nm3112470,actor,[""James""]),(nm0649729,actor,[""Mark""]),(nm0755632,actress,[""Diane""]),(nm5339326,actor,[""Eloge""]),(nm0000426,actress,[""Marcia""])"	2	1
tt8999762	movie	The Brutalist	The Brutalist	2024	216	Drama	7.4	77757	nm1227232	nm1227232,nm2178754	"(nm0004778,actor,[""László Tóth""]),(nm0428065,actress,[""Erzsébet Tóth""]),(nm0001602,actor,[""Harrison Lee Van Buren Sr.""]),(nm7153679,actor,[""Harry Lee""]),(nm3864163,actress,[""Zsófia""]),(nm5237479,actress,[""Maggie Lee""]),(nm0207218,actor,[""Gordon""]),(nm0005273,actor,[""Attila""]),(nm3987673,actress,[""Older Zsofia""]),(nm1981574,actor,[""Jim Simpson""])"	10	3
tt31888603	short	Magic Candies	Magic Candies	2024	20	Animation,Family,Fantasy	7.1	1028	nm0632788	nm4869977,nm11781426	"(nm4521313,actor,[""Stationary Store Owner""]),(nm2326304,actor,[""Sofa""]),(nm15960567,actor,[""Dong-Dong""]),(nm2585836,actress,[""Grandma""]),(nm0913814,actor,[""Dad""]),(nm0945377,actor,[""Gusuri""]),(nm14896396,actress,[""Young Dong-Dong""])"	1	0
tt30319854	movie	Sugarcane	Sugarcane	2024	107	Documentary	7.0	3257	nm3354131,nm11927478	\N	nan	1	0
tt29623480	movie	The Wild Robot	The Wild Robot	2024	102	Animation,Sci-Fi	8.2	160259	nm0761498	nm0761498,nm2464094	"(nm2143282,actress,[""Roz""]),(nm2143282,actress,[""Rummage""]),(nm0050959,actor,[""Fink""]),(nm5598573,actor,[""Brightbill""]),(nm0631490,actor,[""Longneck""]),(nm3513533,actress,[""Vontra""]),(nm1546196,actor,[""Paddler""]),(nm0000609,actor,[""Thunderbolt""]),(nm0000434,actor,[""Thorn""]),(nm0001573,actress,[""Pinktail""]),(nm16372344,actor,[""Baby Brightbill""])"	3	0
