tconst	primaryTitle	originalTitle	startYear	runtimeMinutes	genres	averageRating	numVotes	directors	writers	person
tt0015532	The Adventures of Prince Achmed	Die Abenteuer des Prinzen Achmed	1926	80	Adventure,Animation,Drama	7.8	7273	nm0718201,nm0002569	nm0718201	
tt0021309	The Story of the Fox	Le roman de Renard	1937	63	Adventure,Animation,Comedy	7.6	1651	nm0823089,nm0823088	nm0634113,nm0635163,nm0724858,nm0823089,nm0823088,nm0324473	"(nm0202405,actor,[""Monkey""]),(nm0099679,actor,[""Fox""]),(nm0411664,actor,[""Wolf""]),(nm0488216,actor,[""Bear""]),(nm0783327,actor,[""Cock""]),(nm0213532,actor,[""Badger""]),(nm0024177,actor,[""Cat""]),(nm0690484,actor,[""Donkey""]),(nm0060663,actress,[""Rabbit""]),(nm0233868,actress,[""Fox Cub""])"
tt0026793	The New Gulliver	Novyy Gulliver	1935	75	Adventure,Animation,Comedy	6.4	407	nm0699693	nm8521133,nm6901796,nm0699693,nm0742914,nm0842605	"(nm1238092,actor,[""Gulliver""]),(nm1238092,actor,[""Pioneer Petya""]),(nm1143139,actor,[""Troop Leader Yudin""]),(nm1143139,actor,[""Gulliver's Shipboard Pal""]),(nm0090434,actor,[""Skipper""]),(nm0107828,actor,[""Captain""]),(nm0196792,actor,[""Camp Leader""]),(nm0451701,actor,[""Lilliputians""]),(nm0646229,actor,[""Prisoner on the ship""])"
tt0029583	Snow White and the Seven Dwarfs	Snow White and the Seven Dwarfs	1937	83	Adventure,Animation,Family	7.6	229619	nm0183183,nm0359457,nm0414144,nm0604392,nm0668998,nm0789313	nm0342278,nm0342303,nm0780799,nm0187232,nm0257481,nm0725439,nm0403319,nm0210112,nm0087490,nm0810324	"(nm0143314,actress,[""Snow White""]),(nm0143314,actress,[""Snow White""]),(nm0830968,actor,[""Prince""]),(nm0830968,actor,[""Prince""]),(nm0479164,actress,[""The Evil Queen""]),(nm0479164,actress,[""The Evil Queen""]),(nm0479164,actress,[""The Witch""]),(nm0479164,actress,[""The Witch""]),(nm0041165,actor,[""Doc""]),(nm0041165,actor,[""Doc""]),(nm0118081,actor,[""Huntsman""]),(nm0118081,actor,[""Huntsman""]),(nm0172287,actor,[""Dopey""]),(nm0172287,actor,[""Dopey""]),(nm0172287,actor,[""Chipmunk and Squirrel Sneezes""]),(nm0172287,actor,[""Chipmunk and Squirrel Sneezes""]),(nm0173416,actor,[""Sleepy""]),(nm0173416,actor,[""Sleepy""]),(nm0173416,actor,[""Grumpy""]),(nm0173416,actor,[""Grumpy""]),(nm0173416,actor,[""Dopey (hiccups)""]),(nm0173416,actor,[""Dopey (hiccups)""]),(nm0201428,actress,[""Birds""]),(nm0201428,actress,[""Birds""]),(nm0317970,actor,[""Sneezy""]),(nm0317970,actor,[""Sneezy""]),(nm0363227,actor,[""Happy""]),(nm0363227,actor,[""Happy""])"
tt0031397	Gulliver's Travels	Gulliver's Travels	1939	76	Adventure,Animation,Comedy	6.6	5089	nm0281487,nm0101466,nm0130725,nm0186276,nm0377431,nm0396043,nm0426322,nm0446041,nm0460667,nm0498984,nm0622451,nm0658476	nm0842605,nm0786545,nm0330106,nm0397175,nm0682481,nm0816917	"(nm0236756,actress,[""Princess Glory""]),(nm0743595,actor,[""Prince David""]),(nm0173416,actor,[""Gabby""]),(nm0173416,actor,[""Gabby""]),(nm0397175,actor,[""Prince David""]),(nm0397175,actor,[""Prince David""]),(nm0580271,actor,[""King Little""]),(nm0580271,actor,[""King Little""]),(nm0649866,actor,[""Italian Barber""]),(nm0662603,actor,[""Gulliver""]),(nm0662603,actor,[""Gulliver""]),(nm0682481,actor,[""King Bombo""]),(nm0682481,actor,[""King Bombo""]),(nm6827224,actress,[""Princess Glory""]),(nm6827224,actress,[""Princess Glory""])"
tt0032162	The Golden Key	Zolotoy klyuchik	1939	70	Animation,Family,Fantasy	6.6	274	nm0699693	nm0172830,nm0503950,nm0866231,nm0866238	"(nm0787405,actor,[""Karabas Barabas""]),(nm0554178,actor,[""Duremar, village knave""]),(nm0787400,actress,[""Buratino""]),(nm0880747,actor,[""Papa Carlo""]),(nm0091878,actor,[""Captain of the airship""]),(nm0196792,actor,[""Giuseppe""]),(nm0011799,actress,[""Malvina""]),(nm1058684,actress,[""Pierrot""]),(nm0585270,actor,[""Sandro""]),(nm1918675,actor,[""Policeman""])"
tt0032455	Fantasia	Fantasia	1940	124	Animation,Family,Fantasy	7.7	107678	nm0019282,nm0035899,nm1968474,nm0272568,nm0359457,nm0359610,nm0373429,nm0414144,nm0527217,nm0730860,nm0766402,nm0789313	nm0335469,nm0400056,nm0086293,nm0687624,nm0226679,nm0390839,nm0942687,nm0538164,nm0373871,nm0668998,nm0266338,nm0553200,nm0857936,nm0827963,nm0572689,nm0257481,nm0810324,nm0672093,nm0754836,nm0670328,nm0821707,nm0335296,nm6773872	"(nm0123553,actor,[""Narrator: Deems Taylor overdubs (2000 restoration)""]),(nm0123553,actor,[""Narrator: Deems Taylor overdubs (2000 restoration)""]),(nm0000370,actor,[""Mickey Mouse (segment 'The Sorcerer's Apprentice')""]),(nm0000370,actor,[""Mickey Mouse (segment 'The Sorcerer's Apprentice')""]),(nm0235079,actor,[""Narrator (1982 version)""]),(nm0235079,actor,[""Narrator (1982 version)""]),(nm0531763,actor,[""Percussionist""]),(nm0001513,actor,[""Narrator (1985 version)""]),(nm0001513,actor,[""Narrator (1985 version)""]),(nm0637163,actress,[""Soloist (segment 'Ave Maria')""]),(nm0637163,actress,[""Soloist (segment 'Ave Maria')""]),(nm1345229,actor,[""Violinist""])"
tt0032910	Pinocchio	Pinocchio	1940	88	Adventure,Animation,Comedy	7.5	166216	nm0272568,nm0373429,nm0414144,nm0455741,nm0527217,nm0730860,nm0789313	nm0172830,nm0780799,nm0257481,nm0810324,nm0183183,nm0754836,nm0672093,nm0061284,nm0670328,nm0850895	"(nm0427934,actor,[""Pinocchio""]),(nm0427934,actor,[""Pinocchio""]),(nm0427934,actor,[""Alexander""]),(nm0427934,actor,[""Alexander""]),(nm0747759,actor,[""Geppetto""]),(nm0747759,actor,[""Geppetto""]),(nm0000305,actor,[""Gideon (hiccoughs)""]),(nm0000305,actor,[""Gideon (hiccoughs)""]),(nm0110893,actor,[""Carnival Barker""]),(nm0110893,actor,[""Carnival Barker""]),(nm0118081,actor,[""Carnival Barker""]),(nm0118081,actor,[""Carnival Barker""]),(nm0146185,actor,[""J. Worthington Foulfellow""]),(nm0146185,actor,[""J. Worthington Foulfellow""]),(nm0201428,actress,[""Birds""]),(nm0201428,actress,[""Birds""]),(nm0201660,actor,[""Lampwick""]),(nm0201660,actor,[""Lampwick""]),(nm0197368,actress,[""Children""]),(nm0197368,actress,[""Children""]),(nm0249893,actor,[""Jiminy Cricket""]),(nm0249893,actor,[""Jiminy Cricket""])"
tt0033563	Dumbo	Dumbo	1941	64	Adventure,Animation,Drama	7.2	146771	nm0035899,nm0272568,nm0414144,nm0455741,nm0730860,nm0789313	nm0335469,nm0400056,nm0257481,nm0670328,nm0061284,nm0727370,nm0821707,nm0810324,nm0008673,nm2927785	"(nm0001359,actor,[""Mr. Stork""]),(nm0001359,actor,[""Mr. Stork""]),(nm0112395,actor,[""Timothy Q. Mouse""]),(nm0112395,actor,[""Timothy Q. Mouse""]),(nm16907947,actor,[""Fats Crow""]),(nm0082884,actor,[""The Ringmaster""]),(nm0082884,actor,[""The Ringmaster""]),(nm0088285,actor,[""Clown""]),(nm0088285,actor,[""Clown""]),(nm16908065,actor,[""Dopey Crow""]),(nm0158897,actor,[""Crows""]),(nm0158897,actor,[""Crows""]),(nm0249893,actor,[""Dandy Crow""]),(nm0249893,actor,[""Dandy Crow""]),(nm0271658,actress,[""The Elephant Matriarch""]),(nm0271658,actress,[""The Elephant Matriarch""]),(nm0271658,actress,[""Mrs. Jumbo""]),(nm0271658,actress,[""Mrs. Jumbo""]),(nm0292677,actor,[""Dumbo""])"
tt0033727	Mr. Bug Goes to Town	Mr. Bug Goes to Town	1941	78	Animation,Comedy,Family	6.9	1491	nm0281487	nm0281487,nm0330106,nm0682481,nm0816917,nm0583049,nm0686334,nm0926880,nm0877414,nm0397175	"(nm0307012,actor,[""Dick""]),(nm0580271,actor,[""Mr. Bumble""]),(nm0580271,actor,[""Swat""]),(nm0682481,actor,[""C. Bagley Beetle""]),(nm0583049,actor,[""Smack""]),(nm0293135,actor,[""Hoppity""]),(nm1967951,actress,[""Honey""]),(nm1966706,actor,[""Chorus Interpretations""]),(nm1965089,actor,[""Chorus Interpretations""]),(nm0173416,actor,[""Mr. Creeper""]),(nm0173416,actor,[""Mr. Creeper""]),(nm0385695,actress,[""Mrs. Ladybug""]),(nm0385695,actress,[""Mrs. Ladybug""])"
